Plx,Gmag,BP-RP
7.3858,17.2491,3.1747
7.3876,16.5688,2.9680
7.3877,12.3304,1.3275
7.3877,12.2042,1.2772
7.3878,15.5586,2.6468
7.3890,16.0658,3.0134
7.3894,16.5911,3.0227
7.3906,15.6605,2.9163
7.3910,13.4377,1.8035
7.3916,11.6508,1.1866
7.3925,10.9669,0.9756
7.3926,16.8922,2.4507
7.3927,16.7660,2.8223
7.3935,8.2085,0.4257
7.3942,15.0897,2.4726
7.3942,15.6783,2.9519
7.3956,14.1244,2.0566
7.3958,15.6387,2.6734
7.3962,11.9681,1.2528
7.3962,16.2898,2.8770
7.3968,13.3696,1.7133
7.3970,11.1902,1.0201
7.3971,16.6745,2.8317
7.3973,12.6327,1.4516
7.3982,15.8764,2.7951
7.3986,17.7123,3.3868
7.3987,17.1706,2.7250
7.3999,10.0380,0.9087
7.3999,16.9801,2.9962
7.4014,17.0685,2.5460
7.4016,12.5555,1.4201
7.4026,16.8797,3.0900
7.4027,14.0093,1.9495
7.4028,17.1438,3.1334
7.4030,10.6971,0.9161
7.4040,10.6592,0.9013
7.4044,16.6994,2.9825
7.4059,15.3293,2.5274
7.4066,11.2584,1.0841
7.4067,12.2721,1.3180
7.4071,16.7221,3.1801
7.4081,17.3508,3.2964
7.4081,13.5756,1.7796
7.4086,9.7126,0.7143
7.4095,13.8388,1.8940
7.4106,10.3833,0.8227
7.4107,15.9466,2.8647
7.4120,15.4766,2.6708
7.4121,16.7191,3.0870
7.4129,12.1922,1.2790
7.4131,17.4115,3.2558
7.4134,11.0116,1.0293
7.4135,16.1008,2.8311
7.4151,15.6820,2.7012
7.4154,9.7527,0.7136
7.4154,17.6086,3.2957
7.4156,16.8301,3.1136
7.4160,17.7213,3.5298
7.4164,15.0763,2.4763
7.4172,16.9546,3.0607
7.4173,16.5622,2.9386
7.4181,8.0279,0.2770
7.4184,9.1918,0.6304
7.4187,17.5942,3.3572
7.4194,12.7901,1.4789
7.4199,13.7232,1.8564
7.4199,13.4522,1.7299
7.4224,13.7666,1.9098
7.4225,16.1622,2.8430
7.4227,12.4256,1.3778
7.4228,10.2738,0.8384
7.4230,15.9266,2.7734
7.4240,13.6834,1.8474
7.4248,12.0193,1.2379
7.4249,10.4673,0.8779
7.4255,17.6629,3.3859
7.4258,16.9140,3.0540
7.4266,10.6978,0.9183
7.4267,16.8528,2.9139
7.4273,16.9312,3.1171
7.4276,13.2807,1.7156
7.4280,17.5947,3.2687
7.4284,13.8173,1.7252
7.4294,12.4373,1.3750
7.4299,17.3654,3.2368
7.4303,15.8324,2.7350
7.4310,16.7759,3.0914
7.4311,16.6880,3.1427
7.4316,10.4005,0.9302
7.4319,17.7564,3.4934
7.4319,15.0480,2.4401
7.4327,16.1532,2.9129
7.4333,13.5718,1.7743
7.4340,11.1998,1.0156
7.4346,17.2164,3.1951
7.4351,16.3176,2.8989
7.4354,8.5402,0.5055
7.4364,16.3727,2.9412
7.4365,14.9872,2.4761
7.4365,15.8200,2.9358
7.4385,12.4571,1.3770
7.4386,16.6886,2.9540
7.4402,13.9920,1.9965
7.4405,16.6326,3.1974
7.4405,16.1194,2.8662
7.4408,15.1739,2.5149
7.4415,7.6333,0.2091
7.4416,13.9253,1.9315
7.4419,15.8253,2.7274
7.4420,13.8532,1.9082
7.4423,11.4654,1.0925
7.4424,17.1292,3.0546
7.4425,16.7075,2.9285
7.4425,11.6903,1.1411
7.4429,14.1764,2.0751
7.4430,16.7929,3.0494
7.4432,15.2896,2.5329
7.4435,6.6867,0.0075
7.4439,16.8035,2.3004
7.4445,15.6721,2.7150
7.4446,14.4285,2.1766
7.4450,6.2838,0.0237
7.4458,17.8865,2.9794
7.4459,12.9896,1.5648
7.4462,14.3400,2.2214
7.4464,15.2674,2.8372
7.4467,17.3245,2.9053
7.4467,14.3738,2.1558
7.4468,12.2471,1.3327
7.4485,8.0879,0.3046
7.4494,16.8256,3.0578
7.4507,17.0994,3.2595
7.4512,17.1151,3.2380
7.4516,11.6739,1.3101
7.4527,17.7956,3.1077
7.4540,14.8451,2.3476
7.4542,15.1779,2.5033
7.4544,10.7565,0.9241
7.4554,13.8658,1.9355
7.4563,15.9558,3.0355
7.4567,15.8665,2.7895
7.4575,14.9908,2.7166
7.4576,16.9538,3.1034
7.4584,17.1310,3.1761
7.4588,15.7241,2.7878
7.4596,16.2982,2.8961
7.4605,11.2689,1.0224
7.4608,16.4278,2.6038
7.4617,13.5659,1.8525
7.4623,10.7404,0.9282
7.4645,14.7547,2.3409
7.4668,15.8105,2.7223
7.4677,17.4112,3.2777
7.4678,17.4793,2.9685
7.4682,16.5433,2.8092
7.4693,16.9537,3.1546
7.4702,17.0758,2.8771
7.4706,14.4704,2.2257
7.4711,16.9275,2.7175
7.4713,13.6791,1.8388
7.4722,16.5052,2.9302
7.4728,17.0656,3.3879
7.4730,15.0477,2.5045
7.4756,16.8468,3.0769
7.4766,15.4383,2.6211
7.4778,17.8043,3.2696
7.4788,12.3209,1.3500
7.4791,11.1929,1.0491
7.4799,17.9381,3.3727
7.4803,8.8748,0.5872
7.4803,11.1654,1.0400
7.4821,16.0246,2.7911
